job title,Experience Needed,Location,Posted date,Salary,Company,Job type,Description,Requirements,Job link
Data Analyst,3 To 5 Years,"Heliopolis, Cairo, Egypt",1 month ago,Confidential,Everlast,Full Time,"Analyze marketing data outcomes using statistical techniques and provide reports. 
Develop and implement databases and data collection systems 
Acquire data from primary and secondary sources and maintain data systems 
Analyze campaign performance and research results using a variety of numerical and IT tools 
Capture business requirements, convert them to data logic and develop reports on the system. 
Create business reports that provide insight into key data points 
Quantify processes and numerically demonstrate them using KPI’s other methodologies. 
Communicate the results of data analysis in written and verbal form to directors and managers 
Monitor data to identify changes in financial and business data trends. 
Regularly examine data reports to locate and resolve mistakes throughout. 
Analyze our updated data and create the required weekly and monthly reports. 
Coordinate data between different departments. 
Able to read numbers and data to define the problem and come up with an effective solutions. 
Create a detailed business analysis, outline problems, and identify opportunities and solutions. 
Give a clear vision through the available data to help management have a strategic decision. 
Support effective management and decision-makers across the organization on a numerical basis. 
Assist in developing forecasts and prepare the actual performance. 
Monitor & analyze companies numbers to develop more efficient sales and high percentage sales. 
Work on design and maintain the stability of workflow. ","Bachelor's Degree in Economics, Statistics, or Commerce or any related discipline. 
Not less than 3 to 5 years of experience. 
Excellent in English Language Speaking, Writing and listening 
Excellent analytical thinking skills • Very good communication skills 
High attention to details and math skills. 
High sense of logic and ability to audit self-produced reports for obvious discrepancies. 
Good knowledge of Excel graphic charting and data results graphic representation. 
Knowledge of Marketing fundamentals. 
Knowledge of business sales cycle fundamentals. 
Medical Background is additional.",https://wuzzuf.net/jobs/p/SYUcpM0cmkUO-Data-Analyst-Everlast-Cairo-Egypt?o=11&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Senior Business Analyst,More Than 5 Years,"New Cairo, Cairo, Egypt",1 month ago,"Confidential, Profit Share, Transportation, Medical Insurance, Social Insurance, Life Insurance And Retirement Plan",BI-Technologies,Full Time,"Prepare detailed analysis document with complete awareness with the appropriate techniques and well definition for functional and non-functional requirements.
Participate in the full life-cycle development process from product definition, through design, development, test, release, maintenance and developing innovative solutions to customer requirements.
Work with technology and business teams to define project specifications.
Enhance the efficiency of development, test, and release process; develop tools, frameworks.
Support developers and QC engineers by clarifying requirements or business concerns raised anytime within the development life cycle.
Effectively communicating with product owners’ insights and plans to support cross-functional team members and management.
Proactively communicate and collaborate with clients and internal teams to determine / analyze functional requirements and appropriate / accurate project scope considering business needs.
Translate complex business, functional and technical requirements into detailed work tasks; prepare project scope statements.
Develop requirements specifications according to standard templates.
Review the Documents with his manager and the technical team before finalizing and version the document.","5+ Previous experience in Business Analysis
A degree in IT / Computer Science
Proven experience in eliciting requirements
Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools
Strong written and verbal communication skills including technical writing skills in both Arabic and English
Must have working experience on large scale projects as well as handling day-to-day operational requests
Strong project management, ability to successfully manage multiple tasks at any given point, strong relationship building skills & communication skills",https://wuzzuf.net/jobs/p/dFLviMvipw7o-Senior-Business-Analyst-BI-Technologies-Cairo-Egypt?o=12&l=sp&t=sj&a=Data Analyst|search-v3|navbg
MIS & Business Performance Analyst,2 To 4 Years,"New Cairo, Cairo, Egypt",1 month ago,Confidential,Masria Digital Payment (MDP),Full Time,"Performing data analysis process for generating reports on periodic basis based on comments collected from different functions.
Create periodic Strategic Customers Business Performance Dashboards and Analytics Reports that will be used by Business & Retail Management to manage sales & portfolio performance.
Create high quality ‘Board level’ Senior Management Dashboards and Analytics reporting, including focused analysis, trending, quantitatively and qualitatively of overall organization business performance.
Create Data analytics and MIS for Operational Activities to assist in the achievement of strategic operational goals and efficiencies within the different operations functions.
Support the development of standardized reporting solutions of existing products and services used in customers BAU activities.","Bachelor’s Degree in information systems, Commerce or business administration
Cards and ATMs business Knowledge is preferable
Strong MS Access & MS Excel skills
Good knowledge of data analytic tools
Strong presentation skills
Strong analytical skills to quickly identify patterns to apply solutions to varied problem sets
Strong problem-solving ability and result oriented Cards and ATMs business Knowledge is preferrable",https://wuzzuf.net/jobs/p/c96y1csbpjsD-MIS-Business-Performance-Analyst-Masria-Digital-Payment-MDP-Cairo-Egypt?o=13&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Sr. Business Analyst,More Than 5 Years,"Cairo, Egypt",27 days ago,Confidential,egabi solutions,Full Time,"Purpose:
Perform detailed analysis and processes documentation to propose solutions for business areas and to prepare functional specifications.
Duties & Responsibilities:
Study projects proposals and RFP to understand the project scope, and communicate sales/presales team to stand on solid project scope
Create informative and actionable reports that highlights relevant business trends and opportunities for improvement.
Suggest changes to senior management using analytics to support your recommendations.
Persuade internal and external stakeholders of the benefits of new technology or strategies.
Prepare requirements management plan and size the effort required for each requirement management activity.
Identify problems within a business, including through using data modelling techniques.
Conduct meetings with different business stakeholders to elicit and validate business and user requirements.
Accurately and efficiently identify, define, document and present business requirements.
Construct workflow charts and diagrams, studying system capabilities and writing specifications.
Staying up-to-date on the latest process and IT advancements to automate, modernize systems and design modifications.
Create Use Cases/User Stories to clarify system behavior & Acceptance criteria.
Identify gaps between the current processes and propose new one to improve processes
Report actual efforts spent & update task percentage achieved.
Perform different analysis techniques to validate the requirements before and after documentation.
Seek customer’s Approval on requirements specifications documents.
Act as a strategic partner between the business community/users and IT development teams to ensure technical compatibility and user satisfaction.
Facilitate workshop sessions involving Development, testing, UI/UX and Support representatives to ensure deliverables for future releases are agreed.
Maintain user confidence and protect operations by keeping information confidential.
Enhance department and organization by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments.","Bachelor’s degree in Computer Science/Engineering or equivalent.
CCBA , CBAP, AAC is a plus.
GIS  analysis Experience is a must 
At least 4 Years in software industry (Software development/ Testing/ Consultation).
5-6 years of experience as a Business Analyst supervisory position.
Technical experience in software development and/or implementation.
Business Writing and Reporting.
Documentation proficiency in both English and Arabic.",https://wuzzuf.net/jobs/p/2XnILAeOhsUe-Sr-Business-Analyst-egabi-solutions-Cairo-Egypt?o=14&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Wireline Log Analyst,4 To 10 Years,"Tripoli, Libya",1 month ago,"Confidential, Accommodation, Transportation ,Annual Leave",Alsahl Group,Full Time,"We are Alsahl Group Holding are looking to hire “Wireline log analysis” for one of our Oil company located in Libya
Responsibilities:
 * Visiting Customer office related to job analysis. 
* Good skills of client communication and data interpretation explanation. 
* Very Good user of Kappa and ip software
* Presenting Tools to customer like: PLT ,RPM and RBT.
* Data analysis of PLT, and RPM using right software.
* Supporting sales dept. with customer meeting. 
* Serve as a key customer interface to present processed results and interpretation conclusions
* Performance of data processing, analysis and reporting functions out with normal office hours as and when required to support priority or Fast Turn-Around operations
* Attendance of meetings with clients and service companies as required
* Provide front-line customer support for EV commercial software products including, but not limited to, training of EV customers, verification and reporting of customer reported bugs/issues and resolution of licensing or version-related issues.
* Assist Sales and Marketing team through the creation of example deliverables and contributing to the development of case studies and technical papers.
 ","High Qualified 
Very Good user of Kappa and ip software
 Presenting Tools to customer like: PLT ,RPM and RBT.
Data analysis of PLT, and RPM using right software.",https://wuzzuf.net/jobs/p/SYrh64UXR7Mb-Wireline-Log-Analyst-Alsahl-Group-Tripoli-Libya?o=15&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Financial Analyst,5 To 7 Years,"Maadi, Cairo, Egypt",12 hours ago,Confidential,Cartlow,Full Time,"Cartlow is the first App in the region to provide Pre-owned, Open-box, Refurbished, and Clearance stock products while providing a warranty, easy returns and the best value.
 Collect, clean, check data from various departments, and produce daily, weekly, and monthly reports.
A crucial point of contact of data to the business ( Business data + Financial data ).
Support, and maintain ( budget, forecast, Rolling forecast ) models.
Provide periodic, Adoc analytical insights.
Support the accounting team in the closing process, and help ensure the completeness + accuracy of the financial reporting.","Good knowledge of financial reporting
5 years of experience.
Good knowledge of power BI – Excel functions – Basic modeling techniques.  
Attention to detail/accuracy.
Excellent communication skills
Keen on learning  the business
Previous experience in a dynamic environment is important
Self-starter, advocate for automation.
FMWA or CMA student partially completed.
 ",https://wuzzuf.net/jobs/p/js6dNyf4bmTi-Financial-Analyst-Cartlow-Cairo-Egypt?o=16&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Business Analyst,More Than 4 Years,"New Cairo, Cairo, Egypt",5 days ago,Confidential,Confidential,Full Time,"Use data modelling practices to analyze your findings and create suggestions for strategic and operational improvements and changes.
Designing performance metrics (KPIs, PIs, KRIs, RIs).
Over viewing general business performance, and help in highlighting business gaps
Consider the opportunities and potential risks and flag it with top management.
Flag with top management any gaps on the performance and Identify root causes for bottlenecks.
Perform all needed strategic and operational analytics to determine efficiency of operations, process and personnel.
Continuous analysis and quantifying of data points
Support the establishment of the OKR management system.
Help in improving the company's competitive positioning
Design and maintain dashboards and reports for several managerial levels.","BSc of Business Administration 
4+ Years of relevant experiences
Sound understanding of business process, analytics performance metrics
Self-motivated and self-managed candidates, and ability to challenge status-quo
Prior consulting experience is a bonus
Prior construction experience is a bonus",https://wuzzuf.net/jobs/p/MCaYhKGlDg3I-Business-Analyst-Cairo-Egypt?o=17&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Sales Analyst,More Than 3 Years,"Zamalek, Cairo, Egypt",1 day ago,Confidential,Azza Fahmy Jewellery,Full Time,"Collect and analyze data from sales reports & closely studies past sales data to determine trends 
Calculate and send Maintenance cost to stores 
Data Analysis Activities (Collections performance, Sales reviews, … etc.) 
Collaborate with sales team to develop sales forecasts
Update prices of products on the system 
Update tracking sheet for calculating total sales through for collecting sold items 
Review budgets and expenses and evaluate pricing structures
Help determine ways to improve sales processes and generate new tools for the team 
Identify market trends and changes in customers’ performance and behaviors to support the sales team achieving their targets 
Define stones costing for new collections & replenishment
Evaluate pricing structures, develop promotional plans and track results and performing analyses to provide the business with insights 
Support other departments on product and collections analysis
Check stocks at the boutiques once a week 
Follow up & notify the team when replenishment is needed ","Education: Bachelor degree in accounting, business, finance, economics, statistics, or a similar field.
Work Experience: Minimum 3 years of experience in an analytical role.
Language: Perfect command of both spoken & written in English and Arabic. French is a plus.
Strong knowledge of Microsoft word programs (power point, word and excel).
Strong knowledge of word processing, spreadsheet, database and presentation software
Excellent analytical skills & ability to analyze large sets of data",https://wuzzuf.net/jobs/p/RCEUOZqWUIT5-Sales-Analyst-Azza-Fahmy-Jewellery-Cairo-Egypt?o=18&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Tariff Analyst,0 To 1 Year,"Nasr City, Cairo, Egypt",7 days ago,Confidential,Tripathon,Full Time,"This is a great opportunity for fresh graduates that want to launch a career in the travel industry!
Tripathon Travel is an international tourism company looking for Tariff Analyst (fluent English) to support our clients.
We need smart and flexible people who value good teamwork and warm atmosphere and would like to become a part of something awesome!
Experience in Tourism field is not necessary as we provide thorough training.
Job responsibilities
Entering contract rates into Tripathon’s back office
Monitoring rates of competitors
Contacting hotels to solve price & allotment disputes
Performing data & trend analysis and sharing feedback with hotels
Sharing conclusions with Tripathon contractors & other departments
Participating in preparation of sales reports & comparisons
Shifting bookings to maximize profits","University degree 
Excellent command of English language, both written and spoken
Good knowledge of Excel
Accurate and thorough person with an eye for details
Outstanding phone and email etiquette
Ability to thrive in a deadline-driven environment
Smart and flexible",https://wuzzuf.net/jobs/p/DNLUObLWCmtp-Tariff-Analyst-Tripathon-Cairo-Egypt?o=19&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Financial Analyst - Innoventures,2 To 5 Years,"Heliopolis, Cairo, Egypt",11 days ago,4000 To 7000 EGP Per Month,Cultiv,Full Time,"The financial analyst role is to identify and evaluate investment opportunities, by performing due diligence on potential investees, building valuation models and conducting extensive market research.
In addition, the analyst role includes assisting portfolio companies’ strategy, monitoring, exit events and general support of the Innoventures portfolio. In addition to supporting various Innoventures associated activities, including but not limited to communication, negotiation, strategic partnerships, stakeholder engagement and fundraising.
Responsibilities and Duties:
Communicating and liaising with the firms portfolio companies to develop monthly and quarterly performance and reporting needs.
Using network and research to find new companies to induct into the firms portfolio.
Conduct economic, market and industry research.
Conduct deal analysis and extensive due diligence on potential investees.
Analyze financial data and conduct modeling and valuation.
Structure and execute transactions in addition to other deal-closing activities.
Manage relationships with various stakeholders such as investors, investment committee and other partners.","2+ years of work experience in a related investment field (e.g. VC/PE/IB, investment, consulting, etc.).
Remarkable financial and analytical skills and proficiency in spreadsheet modeling.
Willingness to work in a fast-paced, deadline-oriented environment.
Sharp business acumen and deep understanding of venture capital and entrepreneurship ecosystems.
A degree in Finance, Business, or relevant field.
Excellent writing, communication and organization skills.
Excellent interpersonal skills and ability to establish trust.
Highly competent in the use of needed computer skills (Advanced knowledge of Excel).
Strong analytical and data gathering skills.
High proficiency in financial modeling techniques.
Able to easily and fluently communicate in English & Arabic Language [both verbally and written].",https://wuzzuf.net/jobs/p/kti85hWCwb2o-Financial-Analyst---Innoventures-Cultiv-Cairo-Egypt?o=20&l=sp&t=sj&a=Data Analyst|search-v3|navbg
